# Русский перевод строк Tetrachrome: английская строка из кода <TAB> перевод.
no source images	нет исходных картинок
not written — RGB output	не пишется — результат в RGB
off	выкл.
partial	не все
ready	готов
sRGB input	Вход в sRGB
{}  (default)	{}  (по умолчанию)
{}  (next to sources)	{}  (рядом с исходниками)
{} added to the library — all channels are busy	{} — в библиотеке: все каналы заняты
{} already exists in {}	{} уже есть в {}
{} copy	{} (копия)
{} duplicate maps ignored	Лишних дублей карт: {} — пропущены
{} files matched no channel	Файлов без канала: {}
{} loaded	Загружено: {}
{} · {} · {} of {} channels from images · label {}	{} · {} · каналов из картинок: {} из {} · метка {}
{} · {} · {} unmatched — maps are grouped by name and sorted into channels by the preset's suffixes	{} · {} · без канала: {} — карты группируются по имени и раскладываются по суффиксам пресета
{} — click to append	{} — щелчок добавит в конец
{} — they will be resampled.	{} — их пересчитают к одному размеру.
{} — {} already taken	{} — {} уже занят
{} ← inverted {}	{} ← инвертированная {}
{}: {} exists, skipped	{}: {} уже есть, пропущено
{}×{} is larger than the {} limit	{}×{} больше предела {}
“packed” next to the sources	«packed» рядом с исходниками
